"","unid","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age","gender_male"
"43141",17950,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,3,5,2,NA,NA,29,1
"43142",72643,FALSE,0,1,4,NA,0,2,0,1,0,10,10,1,5,9,22,1
"43143",10578,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,6,5,6,NA,NA,30,0
"43144",10590,FALSE,0,0,4,2,2,NA,1,1,1,NA,NA,NA,NA,NA,30,0
"43145",36765,TRUE,0,0,2,2,0,NA,1,0,0,NA,NA,NA,NA,NA,26,1
"43146",44873,FALSE,1,1,1,NA,1,1,1,1,1,7,7,4,4,6,24,0
"43147",49370,FALSE,0,0,2,NA,0,1,0,1,0,9,6,3,5,3,23,1
"43148",80561,FALSE,0,1,6,NA,1,1,1,1,0,5,3,6,NA,3,21,0
"43149",57400,FALSE,1,1,1,NA,1,1,0,1,0,6,5,6,2,1,23,0
"43150",100710,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,5,5,6,2,NA,18,0
"43151",81900,FALSE,0,1,11,NA,1,1,1,1,1,3,6,9,NA,9,20,0
"43152",69081,TRUE,0,1,3,NA,0,1,0,1,1,5,3,5,NA,8,22,1
"43153",93077,FALSE,0,0,5,NA,0,1,1,1,0,6,5,7,3,3,20,0
"43154",20334,FALSE,0,0,10,NA,1,3,0,1,1,5,NA,8,NA,9,27,0
"43155",83830,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,6,NA,9,NA,NA,21,0
"43156",6934,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,31,0
"43157",67957,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,9,NA,NA,24,0
"43158",14154,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0
"43159",62077,FALSE,0,1,2,2,0,NA,0,1,1,NA,NA,NA,NA,NA,24,0
"43160",80840,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,23,0
"43161",60509,TRUE,0,0,3,NA,0,1,0,1,0,6,7,0,NA,1,22,0
"43162",94366,FALSE,0,0,3,NA,0,1,1,1,0,5,NA,1,NA,6,19,0
"43163",7579,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,1,NA,NA,29,1
"43164",13532,TRUE,0,0,8,5,1,NA,0,1,0,NA,NA,NA,NA,NA,29,1
"43165",89560,FALSE,0,1,3,NA,0,0,1,0,1,7,5,7,3,5,20,0
"43166",53147,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0
"43167",100104,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,20,1
"43168",30767,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,27,0
"43169",9852,TRUE,0,0,7,3,3,NA,1,1,1,3,NA,3,NA,6,29,0
"43170",24731,FALSE,0,1,5,NA,1,1,1,1,0,3,NA,3,NA,0,27,0
"43171",81266,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,22,0
"43172",55373,TRUE,1,1,4,NA,1,2,1,1,1,5,6,0,NA,10,22,0
"43173",21152,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,7,NA,3,NA,NA,28,0
"43174",12753,FALSE,0,0,3,NA,2,1,0,1,0,6,6,8,3,3,27,0
"43175",60481,FALSE,0,0,4,3,1,NA,1,1,1,7,9,5,5,3,23,0
"43176",99174,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,20,0
"43177",21092,TRUE,0,0,15,NA,NA,3,1,1,1,7,NA,7,NA,NA,26,0
"43178",18151,FALSE,0,1,4,0,2,NA,1,0,1,NA,NA,NA,NA,NA,28,0
"43179",96429,TRUE,0,1,6,NA,0,0,1,0,1,7,NA,6,NA,9,19,1
"43180",92298,TRUE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,21,1
"43181",84219,FALSE,1,0,1,NA,0,1,0,1,0,7,6,2,3,-1,22,1
"43182",37760,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,26,1
"43183",83878,FALSE,1,1,3,NA,0,1,0,1,1,3,4,5,NA,0,21,1
"43184",95792,FALSE,1,0,7,NA,0,2,1,1,1,4,3,0,NA,9,19,1
"43185",19945,FALSE,1,1,2,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,28,0
"43186",56437,FALSE,0,0,4,NA,1,1,1,1,0,6,NA,5,NA,3,23,1
